sentence,np,vp,ner_rich
"raw text documents used as knowledge sources.
","['raw text documents', 'knowledge sources']
","['used'] 
",0
"Research reported in the Question Answering
","['Research', 'Question Answering']
","['reported'] 
",0
"(QA) track of  TREC  (Text Retrieval Conferences) show some interesting results.
","['QA', 'track TREC', 'Text Retrieval', 'interesting results']
","['show'] 
",0
"The basic
","[]
","[] 
",0
"technology used by the participants in the QA track included several steps.
","['technology', 'participants QA track', 'several steps']
","['used', 'included'] 
",1
"First, cue
","['cue']
","[] 
",0
"words/phrase like ‘who’ (as in ‘who is the prime minister of Japan’), ‘when’ (as in ‘When did the
","['words/phrase', '‘ ’', '‘', 'minister Japan ’', '‘ ’']
","[] 
",0
"Jurassic period end’) were identified to guess what was needed; and then a small portion of the
","['Jurassic period end ’', 'guess', 'small portion']
","['identified', 'needed'] 
",1
"document collection was retrieved using standard text retrieval technology.
","['document collection', 'standard text retrieval technology']
","['retrieved using'] 
",0
"This was followed by
","[]
","['followed'] 
",0
"a shallow parsing of the returned documents for identifying  the entities required for an answer.
","['shallow parsing', 'documents', 'entities', 'answer']
","['returned', 'identifying', 'required'] 
",1
"If
","[]
","[] 
",0
"no appropriate answer type was found then best matching passage was retrieved.
","['appropriate answer type', 'matching passage']
","['found', 'retrieved'] 
",1
"This approach
","['This approach']
","[] 
",0
"works well as long as the query types  recognized by the system have broad coverage, and the
","['works', 'query types', 'system', 'broad coverage']
","['recognized'] 
",0
"system can classify questions reasonably accurately (Voorhees,1999).
","['system', 'classify questions', 'Voorhees,1999']
","[] 
",0
"In TREC-8, the first QA
","['TREC-8', 'QA']
","[] 
",0
"track of TREC,  the most accurate QA systems could answer more than 2/3 of the questions
","['track TREC', 'accurate QA systems', 'questions']
","['answer'] 
",0
"correctly.
","[]
","[] 
",0
"In the second QA  track (TREC-9), the best performing QA system, the Falcon system
","['second QA track', 'TREC-9', 'QA system', 'Falcon system']
","['performing'] 
",0
"from Southern Methodist University,  was able to answer 65% of the questions (Voorhees, 2000).
","['Southern Methodist University', '% questions', 'Voorhees']
","['answer'] 
",0
"These results are quite impressive in a domain-independent question answering environment.
","['These results', 'impressive domain-independent question', 'environment']
","['answering'] 
",0
"However, the questions were still simple in the first two QA tracks.
","['questions', 'QA tracks']
","[] 
",0
"In the future more complex
","['future complex']
","[] 
",0
"questions requiring answers to be obtained from more than one documents will be handled by QA
","['questions', 'answers', 'documents', 'QA']
","['requiring', 'obtained', 'handled'] 
",1
"track researchers.
","['track researchers']
","[] 
",0
" Owei (2000)  argues that the drawbacks of most natural language interfaces to database systems
","['Owei', 'drawbacks', 'natural language interfaces', 'systems']
","['argues', 'database'] 
",1
"stem primarily from their weak interpretative power which is caused by their  inability to deal
","['stem', 'weak interpretative power', 'inability deal']
","['caused'] 
",0
" 15
","[]
","[] 
",0
"with the nuances in human use of natural language.
","['nuances', 'natural language']
","['use'] 
",0
"The author further argues that the difficulty
","['The author', 'difficulty']
","['argues'] 
",0
"with NL database query languages (DBQLs) can be overcome by combining  concept based
","['NL database query languages', 'DBQLs', 'concept']
","['overcome combining', 'based'] 
",1
"DBQL paradigms with NL approaches to enhance the overall ease-of-use of the query interface.
","['DBQL paradigms NL', 'overall ease-of-use query interface']
","['approaches enhance'] 
",0
"Zadrozny et al.
","['Zadrozny', 'al']
","[] 
",0
"(2000) suggest that in an ideal information retrieval environment, users should be
","['ideal information retrieval environment', 'users']
","['suggest'] 
",0
"able to express their interests or queries directly and naturally, by speaking, typing, and/or
","['able express interests queries', 'speaking', 'and/or']
","['typing'] 
",0
"pointing; the computer system then should be able to provide intelligent answers or ask relevant
","['pointing', 'computer system', 'able provide intelligent answers']
","['ask'] 
",0
"questions.
","['questions']
","[] 
",0
"However, they comment that even though we build natural language systems, this goal
","['comment', 'build natural language systems', 'goal']
","[] 
",0
"cannot be fully achieved due to limitations of science, technology, business knowledge, and
","['due limitations science', 'technology', 'business knowledge']
","['fully achieved'] 
",0
"programming environments.
","['environments']
","['programming'] 
",0
"The specific problems include (Zadrozny et al., 2000):
","['The specific problems', 'Zadrozny']
","['include'] 
",0
"• Limitations of NL understanding;
","['• Limitations NL understanding']
","[] 
",0
"• Managing the complexities of interaction (for example, when using NL on devices with
","['•', 'complexities interaction', 'example', 'NL devices']
","['Managing', 'using'] 
",1
"differing bandwidth);
","['bandwidth']
","['differing'] 
",0
"• Lack of precise user models (for example, knowing how demographics and personal
","['• Lack precise user models', 'example', 'demographics']
","['knowing'] 
",0
"characteristics of a person should be reflected in the type of language and dialogue the
","['characteristics person', 'type language dialogue']
","['reflected'] 
",0
"system is using with the user), and
","['system', 'user']
","['using'] 
",0
"• Lack of middleware and toolkits.
","['• Lack middleware toolkits']
","[] 
",0
"NLP Software
","['NLP Software']
","[] 
",0
"A number of  specific NLP software products have been developed  over the past decades, some
","['A number', 'specific NLP software products', 'past decades']
","['developed'] 
",0
"of which are available for free, while others are available commercially.
","['others']
","[] 
",0
"Many such NLP
","['Many NLP']
","[] 
",0
"software packages and tools have already been mentioned in the discussions throughout this
","['software packages', 'discussions']
","['tools already mentioned'] 
",0
"chapter.
","['chapter']
","[] 
",0
"Some more NLP tools and software are mentioned in this section.
","['Some NLP tools software', 'section']
","['mentioned'] 
",0
"Pasero & Sabatier (1998)  describe principles underlying ILLICO, a generic natural-language
","['Pasero', 'Sabatier', 'describe principles', 'ILLICO', 'generic natural-language']
","['underlying'] 
",0
"software tool for building larger applications for performing specific linguistic tasks such as
","['software tool building', 'applications', 'specific linguistic tasks']
","['performing'] 
",0
"analysis, synthesis, and guided composition.
","['analysis', 'synthesis', 'composition']
","['guided'] 
",0
"Liddy (1998) and Liddy et al.
","['Liddy', 'Liddy', 'al']
","[] 
",0
"(2000) discuss the
","['discuss']
","[] 
",0
"commercial use of NLP in IR with the example of DR-LINK (Document Retrieval Using
","['commercial use NLP IR example DR-LINK', 'Document Retrieval Using']
","[] 
",0
"LINguistic Knowledge) system demonstrating the capabilities of NLP for IR.
","['LINguistic Knowledge', 'system', 'capabilities NLP IR']
","['demonstrating'] 
",0
"Detailed product
","['Detailed product']
","[] 
",0
"information and a demo of DR-LINK are now available online (http://www.textwise.com/dr-
","['information demo DR-LINK', 'available online']
","[] 
",0
" 16
","[]
","[] 
",0
"link.html).
","['link.html']
","[] 
",0
"Nerbonne et al.
","['Nerbonne', 'al']
","[] 
",0
"(1998) report on GLOSSER, an intelligent assistant for Dutch
","['report GLOSSER', 'intelligent assistant Dutch']
","[] 
",0
"students for learning to read French.
","['students']
","['learning'] 
",0
"Scott (1999) describes the Kana Customer Messaging
","['Scott', 'Kana Customer Messaging']
","['describes'] 
",0
"System that can categorize inbound e-mails, forward them to the right department and generally
","['System', 'inbound e-mails', 'right department']
","['categorize'] 
",0
"streamline the response process.
","['streamline response process']
","[] 
",0
"Kana also has an auto-suggestion function that helps a customer
","['Kana', 'auto-suggestion function', 'customer']
","['helps'] 
",0
"service representative answer questions on unfamiliar territory.
","['service', 'representative answer questions', 'unfamiliar territory']
","[] 
",0
